filename,language,transcription,translation
SEMA1-2022-10-19T094920-5.wav,eng,if you go room fourteen if you come to sothe doctor is fliendly can take care of you can't shout even people you go to him you explain to him very well and whelever ask you if youare sick asking you what is paining you he ask you on by,if you go to room fourteen if you come to sothe doctor is friendly can take care of you can't shout even people you go to him you explain to him very well and whelever ask you if you are sick asking you what is hurting you he asks you on by
SEMA1-2022-11-01T110016-1.wav,eng,so when i came herei found one problem as andlay of giving asment itase only podme fond her byvifin is okenoaa so mo loet te we topaso oa a thank ou e tos,so when i came herei found one problem as andlay of giving asment itase only podme fond her byvifin is okenoaa so mo loet te we topaso oa a thank ou e tos
SEMA1-2022-10-19T094729-2.wav,eng,its clean s welorganized elaptit oe  thank youcef can yeele oteo oe e  es ote,its clean s welorganised elaptit oe thank youcef can yeele oteo oe e es ote
SEMA1-2022-11-01T104454-5.wav,eng,aa wa to tesacasa shaten conlanc bese icasyange laf edli is bom bana ba iponde te jaconetatol coni ternet fiean wade ofas e fols moteasaa ele oo,aa wa to tesacasa shaten conlanc bese icasyange laf edli is bom bana ba iponde te jaconetatol coni ternet fiean wade ofas e fols moteasaa ele oo
SEMA1-2022-10-19T094633-1.wav,eng,caeany languagedaftarnoontoday have come to  sals petal to get treatmened by they treated me wel cs a very good ospicl ill be back in time,caiany languagedaftarnoontoday have come to sals petal to get treatedmened by they treated me wel cs a very good Ospicl ill be back in time
SEMA1-2022-10-19T094827-4.wav,eng,iam very happy because of elcenta focis and it is the best hospital healtin campala because whotever  coumpces ere everything i want service i get in my time eand i likesame,iam very happy because of elcenta focis and it is the best hospital healtin campala because whoever coumpces ere everything i want service i get in my time eand i likeame
SEMA1-2022-10-19T090812-1.wav,eng,yu aoi tak my name sei jus saybut the service was good they care about people they do things very fast that's why  leket the serviceso i will come back for next tm,yu aoi tak my name sei jus saybut the service was good they care about people they do things very fast that's why leket the serviceso i will come back for next tm
SEMA1-2022-11-01T104401-4.wav,eng,when you cow wenyor found o fran south shor be livete fan yur as wen need bo darap na om to dalad because mo hibol patsantia t bicos no ar fondegender on collat at tear panic as,when you cow wenyor found o fran south shor be livete fan yur as wen need bo darap na om to dalad because mo hibol patsantia t bicos no ar fondegender on collat at tear panic as
SEMA1-2022-10-19T090905-2.wav,eng,hy des come yo in the hositel everything was good nothing bad but the problem is i didn't get even single medicine that is my problem but like a toilet everything is very clean even thenas te very,hy des come yo in the hositel everything was good nothing bad but the problem is i didn't get even single medicine that is my problem but like a toilet everything is very clean even thenas te very
SEMA1-2022-10-19T091054-4.wav,lug,eddagala batuwa obusirikale oba erigabyebatalina bakugamba tulina yoyogera n'ogula ko kyekyo usobola bagamba ekitali,medicines are given to us by the army or donors they don't have to tell you we have to talk to the buyer so you can say something that is not true
SEMA1-2022-10-19T090957-3.wav,lug,bano ba tutwala bulungi terina buzibu nabo nga buli kimu batukwasaganya era tufuna bus tetwagala naffe tuli wamu nabo ba tukwata bulungi engeri gye twitrimentibujaja a,these we take care of no problem with them as they manage everything for us and we get bus we don't want and we are together with them we take care of how we treat them
SEMA1-2022-10-19T091146-5.wav,lug,service ebadde nnungi eya tufuddeyo bulungi ndaglasavisi ebadde nnungi ya tuvuddeyonetagala,service has been good of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done well of we have done