Filename,Transcription
KABALAGALA-2025-03-06T092300-7.wav,"Yes, where I was from, side department I phoned, I found Dickens but he is a very good person, very kind down to earth person, he helped me in the way which I wanted so I'm thankful, may God Bless you."
KABALAGALA-2025-03-06T105200-16.wav,"I'm not feeling ok, I have the papers, I come from the papers from here, no one to help me, he is saying me go back, which side, Sambia."
KABALAGALA-2025-03-06T105200-15.wav,"Hello, good morning, all of them, you are talking to Adongo Magreth, I come from here, I have a case, someone is fighting me."
KABALAGALA-2025-03-06T112300-21.wav," I came to the police station Kabalagala and I got a very impressive approach of talking to me and the way they handled me, I really appreciate it, thank you so much."
KABALAGALA-2025-03-06T110200-19.wav,"Ok. Ok, thank you. They have worked on me very well, I'm comfortable and I'm very fine, I don't know what they have done for me. Ok. Yeah, no problem. Wish well. Thank you. You are welcome."
KABALAGALA-2025-03-06T105900-18.wav,"Of course so far the services I got was very good and there was no any disturbance I got from the officers, mostly of course in the office of the O.C., everything was very fine to me."
KABALAGALA-2025-03-06T113000-22.wav,"From the gate I got what I wanted, the service I received from there I was happy with, up to the person I wanted to meet also I think he was not a bad person, he gave me what I wanted, I think we had enough time to talk, I think no disperse which in fact there is no hardship."
KABALAGALA-2025-03-14T102400-3.wav,What the service I found here like it is not bad actually because I came within time they worked on me in time.
KABALAGALA-2025-03-14T112400-12.wav,"Ok, the police work very well right now, they are still working on me so I can not give you the direct feedback but right now we are still on ok, but yeah it works very well."
KABALAGALA-2025-03-14T110600-9.wav,"Just to circle reception, they were like that together, first kubanga I needed some more clients, then they worked on me in a good way."
KABALAGALA-2025-03-14T112000-11.wav,"The service here in police station Kabalagala is good, sometimes it is delaying but it is still good, I think I did my service very well, so for me it is good."
KABALAGALA-2025-03-16T170000-15.wav,"This is the very beautiful police I have ever seen. Very good. Hmm? Bakimanyi baganye yange nebakirize iyo. Yes, yes. Very good, bajiganye ba velibandi nebajingiriza. Yes, yes. Very good. Kati aho watuzi we kinyiga nga bifite bibawe."
KABALAGALA-2025-03-20T085300-26.wav,"Thank you for coming to the police station, they have served us very well with so many issues we have brought to the police, currently we are very happy we are going back, our issues have been solved successfully and we have appreciated the OCI station, the staff of the Kabalagala police station for what they have done for us, we are very happy with their service, thank you very much."
KABALAGALA-2025-03-20T085200-25.wav,The service was very good.
KABALAGALA-2025-03-20T100000-33.wav,"We are happy to get this service, some phone thefts happened, and now we are here, they gave us a good service to get our things back, and everything, that is a good thing."
KABALAGALA-2025-03-20T092600-30.wav," So, after, God Bless him. You can give us a brief how. How he has worked with you. No, when I come to here, I want to give some report for this police station, so, Praise God, some guy, even I took his number here, if I, if something has happened, I will call him, so he is treating me a lot. I came from Ethiopia, by the way, I came from Ethiopia, God Bless Uganda, by the way."
KABALAGALA-2025-03-20T092400-29.wav,"I'm Ivan, yesterday I lost my phone and I came for a letter, I wanted to just to swap the line but I was, in fact I was handled, the officer who handled me, handled me with good care so she just told me to first pick my ID, I come with my ID and she will give me the letter because they cannot give the letter to the officer."
KABALAGALA-2025-03-20T100900-41.wav,ful and they listening what do you want and they give you the paper perfectly at the time.
KABALAGALA-2025-03-20T110700-45.wav,Your service is aware.
KABALAGALA-2025-03-25T141400-7.wav,The experience I have got here at police Kabalagala is really increasing and then it is increasing.
KABALAGALA-2025-03-25T142100-8.wav,"Oh, ok, yeah, I love it, they give me good service, everything is fine, I love their service, thank you so much for your service, especially."
KABALAGALA-2025-03-25T145600-12.wav,"Yes, the services were quick, which is really good."
KABALAGALA-2025-03-25T144800-11.wav,"The service was very, very good, the officers were very polite, they worked upon my situation, I didn't get any difficulties, I think that's all."
KABALAGALA-2025-03-25T145600-13.wav,The service was very fantastic and very quick for us.
KABALAGALA-2025-03-25T160000-17.wav,The services in Kabaraga Police Station are very good.
KABALAGALA-2025-03-25T160000-16.wav,"Services at Kabaragara Police Station are very good, thank you."
KABALAGALA-2025-03-25T172200-19.wav,Amwa pe wezika baragara police station services.
KABALAGALA-2025-03-27T114300-12.wav,"The services were good, the officers didn't waste my time."
KABALAGALA-2025-03-27T095700-6.wav,"A little explanation, why is it good? Yes, it is good because I was received, attended to, and the service was on time, they did not keep me waiting, so I got what I wanted, and so I'm happy. Thank you Sir."
KABALAGALA-2025-03-27T121600-17.wav,"You gave us your USA very good. Of course, now when I went there, it was like they were replacing a line, they have just handled me very well and I finished it. Ok."
KABALAGALA-2025-03-27T121400-16.wav,"The officer has talked to me very well, I came to get the letter for National ID, for National ID replacement, it got lost, so the officer advised me very well and worked for me very fast."
KABALAGALA-2025-03-27T123900-21.wav," Yes, how? I'm talking like the officer, he met me very fast, how was it? I met Mr Sentamu, he handled me very well, he was a good person. From which department? I don't know the department but he called me, I found Sentamu, that's all I know. Ok, thank you, safe journey."
KABALAGALA-2025-03-27T122000-19.wav,"How was the service of one of the sites? I have been given the service very well. Ok, they have not wasted the time? No, they have not. Ok, thank you. everything was ok. Ok, thank you. It is just a replacement of my line and I have been served well. Ok, thank you."
KABALAGALA-2025-03-27T130700-22.wav,"I have said very good, the reason I'm saying very good is because they gave me that time, I came not knowing anything, I didn't know where I would start from, I didn't know, ok, where to start from, so they treated me well, yes that is what I can say. Thank you, safe journey, thank you."
KABALAGALA-2025-03-27T132200-24.wav,"That is it, none the less, a common man of now, he misses out upon getting information from the officer from the justice centre because the officer from the justice centre no longer comes to the police station."
KABALAGALA-2025-03-27T132800-25.wav,"The officers are good, that is what I can say for now because they haven't done my case yet."
KABALAGALA-2025-03-27T132200-23.wav,I'm going to speak now.
,
,
37,