Filename,Transcription,correction,sentiment-analysis chatgpt
369.WAV,What does a doctor do for treatment? Maybe the medicines are not there but others have not been given.,"I have got the treatment, only the medicines are not there but otherwise it was not bad",
26.WAV,"Asonga is a very good place, very nice hospital, very good staff friendly each and everything is so nice in this place thank you","Kasangati is a very good place, very nice hospital, very good staff friendly each and everything is so nice in this place thank you",
41.WAV,"Money service, ok, money service, ok, ok, ok.",the musawos are harsh,
373.WAV,The management handled us very well and they helped us a lot.,they handled us very well,
28.WAV,"Record yourself, very sad, what does it go?",very sad,
39.WAV,The reason that the doctors are good is that,the doctors are good,
65.WAV,"Good morning, my experience at this health centre today was not bad I came to do general body check up and I was checked and they found that everything was ok though I was worried","Good morning, my experience at this health centre today was not bad I came to do general body check up and I was checked and they found that everything was ok though",
372.WAV,Business is good.,place is good,
61.WAV,Everything was fine.,"good, everything was fine",
21.WAV,Kasangati Health Centre is a big place with very spacious and good environment. They try to maintain a good level of hygiene across the country.,Kasangati Health Centre is a big place with very spacious and good environment. They try to maintain a good level of hygiene,
176.WAV,It was ok because I received the service that I came for.,It was ok because I received the service that I came for.,
178.WAV,"The hospital was welcoming the adviser when necessary so it has been a good office environment for years. Thank you very much, I'm glad to hear that.","they are hospitable, they are welcoming, they advise where necessary, it has been a good health center",
63.WAV,That's why you see the babies happy but for me I have asked them to swallow the medicine of a worker they have refused to give because this one is the sick and cannot move,That's why you see the babies happy but for me I have asked them to swallow the medicine of intenstinal worms they have refused to give because this one is the sick,
177.WAV,"I attended two as I expected. Yes, basically not as I expected. The nurses are ok","I was attended to as I expected, basically that, I was attended to as expected, the nurses are okay",
58.WAV,"What is it? What is it? He gave me what he has, then people will start but you can tell me that you have",he gave you what he has and you go with that,
59.WAV,"No problem about that, the public water is in this two days I have to come here, no problem about it.","no problem about that, according to what I see in these two days I have come here, no problem about it",
55.WAV,"I help to create a variety of websites and updates for the community, as well as an innovation for internet audiences.","get tablets, others like immunization and antenantal are not",
367.WAV,"I got the best delivery, I got the medicine in time, they have customer care which I didn't expect. So it was very good, I didn't find any problem with food.","I got the best delivery, I got the medicine in time, they have customer care which I didn't expect. So it was very good, I didn't find any problem with it.",
31.WAV,I have never seen anything bad here so I feel good and very good,"I have been giving birth from here, now I have three children, I have never seen anything bad here, very good",
42.WAV,The first time learning the help of a school leader today we come to work on our school so that's why we say it is ok.,the first time they help us even today we come they work on us that's why we say it is okay,
180.WAV,"I come but I spent quite a long time in the hospital and not on sick leave. After me they wait before, but the doctors were aware of me","I came but I spent quite a long time there and those ones who came after me they went before, but the doctors were aware of me",
56.WAV,"They work on the ground, they are wise, active and well-known.","they work early, they were active on their job",
66.WAV,You participated in the campaign and you liked the services we offered? I got good services everything was ok yeah I like the hospital,I got good services everything was ok yeah I like the hospital,
179.WAV,"They are friendly to the patient and they are friendly to the mother that has taken the patient to be worked on, and actually they work on time. Yes, the services are good.","They are friendly, they are friendly to the patient and they are friendly to the mother that has taken the patient to be worked on, and actually they work on time. Yes, the services are good.",
27.WAV,"How do you feel about Kasangati health centre? Very bad, they ask us money. They asked you money for what? I don't know. Corruption, sorry for that","How do you feel about Kasangati health centre? Very bad, they ask us money. They asked you money for what? I don't know. Corruption, sorry for that",
366.WAV,"Is that means you are a test? Yes, of course. But it is my first time being on the side of government because I have brought many people with me.","But it is might first time here, I have brought the baby",
62.WAV,"That is a good service, this one has got antenatal and this one they have immunised the baby. And the others that is a good service of workers","a good service, this one has got antenatal and this one they have immunised the baby. And the others that is good service of kasangati",
68.WAV,More doctors are needed in the healthcare sector.,more doctors are needed.,
181.WAV,"It was good because the way they welcomed us, the way they welcomed the learners, I was very pleased.","It was good because the way they welcomed us, the way they work on us, actually was very good.",
32.WAV,That is why they have good care. They have good care.,"first of all they have good care, they have good care.",
368.WAV,They gave me some extra money to buy medicine but I don't know when I'm going to buy it because there is no money. But they are good doctors and nurses.,"they gave me some medicine, like some medicine they told me to buy but even I do not know if I am going to buy because there is no money. But they are good doctors and nurses.",
54.WAV,"I'm doing very well because I was in the orderly and there were more customers. How can I help you? Do you have any medical needs? No, I come for a medical check-up.","very well because there was no delay, I had come for immunization",
40.WAV,Because as for me I came late but still they worked on me that's why I say it is very good because some places just said you come back next day but for me they have worked on me,Because as for me I came late but still they worked on me that's why I say it is very good because some places just say you come back next day but for me they have worked on me,